gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,J5_min,J5_mean,J5_max,J5_span,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,J5_improve_from_prev
1,100,16,0.16,feasible,0.7028900380547125,0.7422492902958321,0.780701655293497,0.07781161723878449,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,0.5292759664,0.6296748083999999,0.7826364183999999,0.2533604519999999,0.0005165182857142858,0.04703780220468751,0.10458129048214286,0.10406477219642858,0.2759826243216989,0.6679975587042911,0.9987870406012961,0.7228044162795972,,,,,
2,100,38,0.38,feasible,0.7025969343469725,0.7426696337211182,0.7819804653053457,0.07938353095837325,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,0.5286398416,0.631263840568421,0.7826364183999999,0.2539965767999999,0.0,0.049939780871503754,0.16592846886190477,0.16592846886190477,0.2759826243216989,0.6507533112050078,1.0,0.724017375678301,0.00029310370774005,0.0,0.0006361247999999708,0.0005165182857142858,0.0
3,100,91,0.91,feasible,0.7025969343469725,0.7403837570636209,0.7942388474611453,0.0916419131141728,0.41379310344827586,0.4137931034482759,0.41379310344827586,0.0,0.5286398416,0.6255778743912087,0.8103773791999999,0.28173753759999987,0.0,0.04593969013402276,0.16592846886190477,0.16592846886190477,0.2759826243216989,0.6800299037535411,1.0,0.724017375678301,0.0,0.0,0.0,0.0,0.0
4,100,100,1.0,feasible,0.7025969343469725,0.7331504502304906,0.791434431384759,0.08883749703778654,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5914963065439999,0.7604652959999999,0.2318254543999999,0.0,0.04330338350369286,0.16781847788333332,0.16781847788333332,0.2105121539517659,0.680787436405513,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.065470470369933
5,100,100,1.0,feasible,0.7025969343469725,0.7298098495956686,0.7938853578440274,0.0912884234970549,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5780308871519999,0.7322832208,0.20364337919999997,0.0,0.03814018319941666,0.16781847788333332,0.16781847788333332,0.2105121539517659,0.6941592077506036,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.0
6,100,100,1.0,feasible,0.7025969343469725,0.7334044840178859,0.7938853578440274,0.0912884234970549,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5844890421919999,0.7188099751999999,0.1901701335999999,0.0,0.041365783281071426,0.16781847788333332,0.16781847788333332,0.2105121539517659,0.6451908683429316,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.0
7,100,100,1.0,feasible,0.7025969343469725,0.7348338349402802,0.7938853578440274,0.0912884234970549,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5881410267199999,0.7188099751999999,0.1901701335999999,0.0,0.03660063647890476,0.13097226512857146,0.13097226512857146,0.2105121539517659,0.6417571241167873,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.0
8,100,100,1.0,feasible,0.7025969343469725,0.7362218054011745,0.7938853578440274,0.0912884234970549,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5894957575439999,0.7213454479999999,0.1927056063999999,0.0,0.03995560733692857,0.13097226512857146,0.13097226512857146,0.2105121539517659,0.6222046274000577,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.0
9,100,100,1.0,feasible,0.7025969343469725,0.7345905416448284,0.7862348729059095,0.08363793855893709,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5843414585679999,0.7213454479999999,0.1927056063999999,0.0,0.043546817541404756,0.13097226512857146,0.13097226512857146,0.2105121539517659,0.6119013974834683,1.0,0.7894878460482341,0.0,0.0,0.0,0.0,0.0
10,100,100,1.0,feasible,0.7025969343469725,0.7359752160711968,0.7862348729059095,0.08363793855893709,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5864240172559999,0.7213454479999999,0.1927056063999999,0.0,0.04465746484823571,0.13097226512857146,0.13097226512857146,0.1957670210050345,0.5941328068641009,1.0,0.8042329789949655,0.0,0.0,0.0,0.0,0.014745132946731382
11,100,100,1.0,feasible,0.7025969343469725,0.7388639940660595,0.7862348729059095,0.08363793855893709,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5908289595199999,0.7213454479999999,0.1927056063999999,0.0,0.048001975654807155,0.13200890284285713,0.13200890284285713,0.1957670210050345,0.5735547120935002,1.0,0.8042329789949655,0.0,0.0,0.0,0.0,0.0
12,100,100,1.0,feasible,0.7025969343469725,0.7398562337467459,0.794045528052377,0.09144859370540459,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5924396416239999,0.7213454479999999,0.1927056063999999,0.0,0.048809856137102384,0.16663411979761905,0.16663411979761905,0.1957670210050345,0.5621844924092021,1.0,0.8042329789949655,0.0,0.0,0.0,0.0,0.0
13,100,100,1.0,feasible,0.7025969343469725,0.7412019106207243,0.794045528052377,0.09144859370540459,0.41379310344827586,0.41379310344827597,0.41379310344827586,0.0,0.5286398416,0.5952329372959998,0.7213454479999999,0.1927056063999999,0.0,0.04902437990722142,0.16663411979761905,0.16663411979761905,0.1957670210050345,0.5456831161668574,1.0,0.8042329789949655,0.0,0.0,0.0,0.0,0.0
