gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
11,100,100,1.0,feasible,0.7350120308548305,0.7658085992412748,0.801810584654562,0.06679855379973154,0.6083775607999999,0.6601272893599999,0.7418513311999998,0.13347377039999986,0.0,0.016428954330504168,0.07399996188928572,0.07399996188928572,0.18721584108555636,0.3499025398129759,0.5624999999999997,0.37528415891444333,0.17247017686604865,0.0,0.0,0.0,0.0,0.0008581396912547001
12,100,100,1.0,feasible,0.7350120308548305,0.767652597432543,0.801810584654562,0.06679855379973154,0.6083775607999999,0.6638408114719999,0.7418513311999998,0.13347377039999986,0.0,0.017527607071155357,0.09469538180952382,0.09469538180952382,0.18721584108555636,0.33777765460533293,0.5624999999999997,0.37528415891444333,0.1725888111967759,0.0,0.0,0.0,0.0,0.00011863433072725749
13,100,100,1.0,feasible,0.7350120308548305,0.7665716883592346,0.801810584654562,0.06679855379973154,0.6083775607999999,0.6604957954799998,0.7418513311999998,0.13347377039999986,0.0,0.019369141664864406,0.09469538180952382,0.09469538180952382,0.18721584108555636,0.3440114405271163,0.5624999999999997,0.37528415891444333,0.17288660486075466,0.0,0.0,0.0,0.0,0.0002977936639787515
14,100,100,1.0,feasible,0.7350120308548305,0.767149093980779,0.8026807642195594,0.0676687333647289,0.6083775607999999,0.6607681711839999,0.7531089511999999,0.14473139039999994,0.0,0.020466685808753438,0.09469538180952382,0.09469538180952382,0.18721584108555636,0.3367451961213061,0.5624999999999997,0.37528415891444333,0.17325562799437771,0.0,0.0,0.0,0.0,0.00036902313362305317
15,100,100,1.0,feasible,0.7350120308548305,0.7673474292990078,0.8013797190972041,0.0663676882423736,0.6083775607999999,0.6604066762959999,0.7419650743999998,0.13358751359999987,0.0,0.01996955671227869,0.09469538180952382,0.09469538180952382,0.179050002280411,0.3328133921755602,0.5624999999999997,0.38344999771958865,0.17503180136463947,0.0,0.0,0.0,0.008165838805145348,0.0017761733702617577
16,100,100,1.0,feasible,0.7350120308548305,0.7676107136640329,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.658532881248,0.7443697575999999,0.13599219679999996,0.0,0.0229609556536525,0.0965033858404762,0.0965033858404762,0.15343133136081108,0.3288290221562384,0.5624999999999997,0.40906866863918856,0.17863106508494683,0.0,0.0,0.0,0.025618670919599934,0.0035992637203073607
17,100,100,1.0,feasible,0.7350120308548305,0.7683584397275567,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.6588991215279999,0.7443697575999999,0.13599219679999996,0.0,0.023977129402147742,0.0965033858404762,0.0965033858404762,0.15343133136081108,0.3260820172366926,0.5624999999999997,0.40906866863918856,0.17885826306338914,0.0,0.0,0.0,0.0,0.0002271979784423117
18,100,100,1.0,feasible,0.7350120308548305,0.7690381610023895,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.66033535532,0.7443697575999999,0.13599219679999996,0.0,0.023567475591365836,0.0965033858404762,0.0965033858404762,0.15343133136081108,0.31852811473652637,0.5624999999999997,0.40906866863918856,0.17892485460052218,0.0,0.0,0.0,0.0,6.659153713303723e-05
19,100,100,1.0,feasible,0.7350120308548305,0.7692512108270979,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.6597560498479998,0.7443697575999999,0.13599219679999996,0.0,0.02535892212641179,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.31754494040004033,0.5624999999999997,0.40906866863918856,0.17900824270030546,0.0,0.0,0.0,0.0,8.338809978328254e-05
20,100,100,1.0,feasible,0.7350120308548305,0.7688198617672194,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.6566785719519999,0.7447737623999998,0.13639620159999988,0.0,0.027906616417604647,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.31752285195519014,0.5624999999999997,0.40906866863918856,0.17937264185778995,0.0,0.0,0.0,0.0,0.00036439915748448515
21,100,100,1.0,feasible,0.7350120308548305,0.7700747592738911,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.6588672554239998,0.7447737623999998,0.13639620159999988,0.0,0.027933172696132026,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.3116165024899525,0.5624999999999997,0.40906866863918856,0.1794382430577375,0.0,0.0,0.0,0.0,6.560119994755698e-05
22,100,100,1.0,feasible,0.7350120308548305,0.7706054698454642,0.8016683139727556,0.06665628311792515,0.6083775607999999,0.6569511746159999,0.7447737623999998,0.13639620159999988,0.0,0.031155830603926075,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.30615130404547025,0.5624999999999997,0.40906866863918856,0.17959862807660515,0.0,0.0,0.0,0.0,0.00016038501886764256
23,100,100,1.0,feasible,0.7350120308548305,0.7683565102471525,0.8015824792876703,0.06657044843283988,0.6083775607999999,0.65336298376,0.7447737623999998,0.13639620159999988,0.0,0.030879042833076673,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.31777483530301903,0.5624999999999997,0.40906866863918856,0.17957096440100162,0.0,0.0,0.0,0.0,-2.766367560352867e-05
24,100,100,1.0,feasible,0.7350120308548305,0.7692338801623848,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.6543900246,0.7447737623999998,0.13639620159999988,0.0,0.032268990839909285,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.3127084061815471,0.5624999999999997,0.40906866863918856,0.17960070289854235,0.0,0.0,0.0,0.0,2.973849754073221e-05
25,100,100,1.0,feasible,0.7350120308548305,0.7704446454197408,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.6558816909039998,0.7447737623999998,0.13639620159999988,0.0,0.03336914576270999,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.3057362104098003,0.5624999999999997,0.40906866863918856,0.17966501468070467,0.0,0.0,0.0,0.0,6.431178216231848e-05
26,100,100,1.0,feasible,0.7350120308548305,0.7721172963232346,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.6582221262160001,0.7447737623999998,0.13639620159999988,0.0,0.033475552582910954,0.1003050843214286,0.1003050843214286,0.15343133136081108,0.29813702163894407,0.5624999999999997,0.40906866863918856,0.17967805968640854,0.0,0.0,0.0,0.0,1.3045005703871126e-05
27,100,100,1.0,feasible,0.7350120308548305,0.7713348810964018,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.658795885744,0.7447737623999998,0.13639620159999988,0.0,0.030608230054902857,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.3025702706956753,0.5624999999999997,0.40906866863918856,0.18020458203143241,0.0,0.0,0.0,0.0,0.0005265223450238721
28,100,100,1.0,feasible,0.7350120308548305,0.7699735194015662,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.6554914002159998,0.7447737623999998,0.13639620159999988,0.0,0.03324757752916691,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.30335328566217734,0.5624999999999997,0.40906866863918856,0.18050052926035492,0.0,0.0,0.0,0.0,0.0002959472289225107
29,100,100,1.0,feasible,0.7350120308548305,0.7685288804885495,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.654934848544,0.7447737623999998,0.13639620159999988,0.0,0.030481146636237386,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.31285512719493636,0.5624999999999997,0.40906866863918856,0.1803984135422111,0.0,0.0,0.0,0.0,-0.00010211571814383591
30,100,100,1.0,feasible,0.7350120308548305,0.7692829624710028,0.8018959589590637,0.06688392810423327,0.6083775607999999,0.6551440618559999,0.7447737623999998,0.13639620159999988,0.0,0.03144855867928738,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.3053970739275548,0.5624999999999997,0.40906866863918856,0.18047860689166834,0.0,0.0,0.0,0.0,8.01933494572471e-05
31,100,100,1.0,feasible,0.7350120308548305,0.770581476164687,0.8040627712661118,0.06905074041128134,0.6083775607999999,0.6576658534319999,0.7447737623999998,0.13639620159999988,0.0,0.03242859007849476,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.2972615713151041,0.5624999999999997,0.40906866863918856,0.1805310239006409,0.0,0.0,0.0,0.0,5.241700897257173e-05
32,100,100,1.0,feasible,0.7350120308548305,0.7692220179739419,0.8040627712661118,0.06905074041128134,0.6083775607999999,0.6550930786239998,0.7447737623999998,0.13639620159999988,0.0,0.032540018966997264,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.3045730411802602,0.5624999999999997,0.40906866863918856,0.18059693179640918,0.0,0.0,0.0,0.0,6.590789576826905e-05
33,100,100,1.0,feasible,0.7350120308548305,0.7708330395217413,0.8040627712661118,0.06905074041128134,0.6083775607999999,0.6571068917119999,0.7447737623999998,0.13639620159999988,0.0,0.03454623568008322,0.10003334499761905,0.10003334499761905,0.15343133136081108,0.2959047178793843,0.5624999999999997,0.40906866863918856,0.18027443253378134,0.0,0.0,0.0,0.0,-0.00032249926262784
