gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,J5_min,J5_mean,J5_max,J5_span,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,J5_improve_from_prev
1,100,16,0.16,feasible,0.7206759666415852,0.758723243808001,0.795893863305744,0.07521789666415879,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6388001643999995,0.7354387380624995,0.8877145133999995,0.24891434899999998,0.0004987073103448277,0.0496831866670977,0.11566438702298848,0.11516567971264365,0.2756817343224216,0.6682386428412443,0.9988274725812528,0.7231457382588312,,,,,
2,100,40,0.4,feasible,0.7206759666415852,0.7616660283588328,0.810287670512499,0.08961170387091377,0.43333333333333335,0.4333333333333334,0.43333333333333335,0.0,0.6382877605999996,0.7439352550149996,0.8996668661999998,0.2613791056000002,0.0004987073103448277,0.059358927712178156,0.14095986409885058,0.14046115678850576,0.1742283602073627,0.6398828945837172,0.9988274725812528,0.82459911237389,0.0,0.0,0.0005124037999999498,0.0,0.10145337411505889
3,100,87,0.87,feasible,0.7203926330574365,0.7533885743474723,0.810287670512499,0.08989503745506244,0.43333333333333335,0.4333333333333332,0.43333333333333335,0.0,0.6382877605999996,0.7168728951977007,0.8996668661999998,0.2613791056000002,0.0,0.054678573368912936,0.18663357464137934,0.18663357464137934,0.1742283602073627,0.696546534723916,1.0,0.8257716397926373,0.0002833335841486706,0.0,0.0,0.0004987073103448277,0.0
4,100,100,1.0,feasible,0.7203926330574365,0.746203534503804,0.8116701741493187,0.09127754109188224,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6852819082279996,0.8953673087999997,0.2570795482000001,0.0,0.04939863838685287,0.18663357464137934,0.18663357464137934,0.1742283602073627,0.706737065857701,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
5,100,100,1.0,feasible,0.7203926330574365,0.7454259211771591,0.810287670512499,0.08989503745506244,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6783182967619997,0.8448691731999997,0.20658141260000007,0.0,0.04518742353723218,0.18663357464137934,0.18663357464137934,0.1742283602073627,0.7096751489361418,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
6,100,100,1.0,feasible,0.7203926330574365,0.7469966122146977,0.810287670512499,0.08989503745506244,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6798739261679994,0.8498311419999999,0.21154338140000029,0.0,0.046987130269347116,0.18663357464137934,0.18663357464137934,0.1742283602073627,0.6696737545228589,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
7,100,100,1.0,feasible,0.7203926330574365,0.752705300596104,0.810287670512499,0.08989503745506244,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6883406140859996,0.8498311419999999,0.21154338140000029,0.0,0.05547156511689196,0.18663357464137934,0.18663357464137934,0.1742283602073627,0.6085260824539005,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
8,100,100,1.0,feasible,0.7203926330574365,0.757182709749185,0.810287670512499,0.08989503745506244,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6954263847219996,0.8498311419999999,0.21154338140000029,0.0,0.05800698906274712,0.20739597134275858,0.20739597134275858,0.1742283602073627,0.5742800937524611,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
9,100,100,1.0,feasible,0.7203926330574365,0.7569240082902767,0.8111089869576124,0.09071635390017585,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6954351004039995,0.8416478429999996,0.20336008240000003,0.0,0.056437763489156315,0.20739597134275858,0.20739597134275858,0.1742283602073627,0.5634252968237148,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
10,100,100,1.0,feasible,0.7203926330574365,0.7559899640698937,0.8111089869576124,0.09071635390017585,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.6968586436579995,0.8416478429999996,0.20336008240000003,0.0,0.04747017819804138,0.14110413234942534,0.14110413234942534,0.1742283602073627,0.5763700602811066,1.0,0.8257716397926373,0.0,0.0,0.0,0.0,0.0
11,100,100,1.0,feasible,0.7203926330574365,0.7585247342529889,0.8097561395368281,0.08936350647939162,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7022421713259994,0.8416478429999996,0.20336008240000003,0.0,0.049439699108482754,0.19337957636091951,0.19337957636091951,0.15709655894210692,0.5476834894230287,1.0,0.842903441057893,0.0,0.0,0.0,0.0,0.01713180126525579
12,100,100,1.0,feasible,0.7203926330574365,0.7586510526586407,0.8097561395368281,0.08936350647939162,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7014737806179996,0.8448534013999994,0.20656564079999984,0.0,0.05365683477416093,0.19337957636091951,0.19337957636091951,0.15709655894210692,0.5342367920361866,1.0,0.842903441057893,0.0,0.0,0.0,0.0,0.0
13,100,100,1.0,feasible,0.7203926330574365,0.7611223199230834,0.8097561395368281,0.08936350647939162,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7055579370939996,0.8416478429999996,0.20336008240000003,0.0,0.058546069230411495,0.19337957636091951,0.19337957636091951,0.15709655894210692,0.5094031901963069,1.0,0.842903441057893,0.0,0.0,0.0,0.0,0.0
14,100,100,1.0,feasible,0.7203926330574365,0.7616388587233509,0.8097561395368281,0.08936350647939162,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7075024469919995,0.8416478429999996,0.20336008240000003,0.0,0.05932019315575403,0.19337957636091951,0.19337957636091951,0.15709655894210692,0.5016422199315654,1.0,0.842903441057893,0.0,0.0,0.0,0.0,0.0
15,100,100,1.0,feasible,0.7203926330574365,0.7624832192182929,0.8101984143466265,0.08980578128919003,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7090579290219995,0.8416478429999996,0.20336008240000003,0.0,0.058390556265140246,0.19337957636091951,0.19337957636091951,0.1556878993794429,0.49905813182926045,1.0,0.8443121006205571,0.0,0.0,0.0,0.0,0.0014086595626640053
16,100,100,1.0,feasible,0.7203926330574365,0.7627562380177243,0.8101984143466265,0.08980578128919003,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7102132495179994,0.8416478429999996,0.20336008240000003,0.0,0.061828173585965505,0.20206306351954026,0.20206306351954026,0.1556878993794429,0.48591377009947256,1.0,0.8443121006205571,0.0,0.0,0.0,0.0,0.0
17,100,100,1.0,feasible,0.7203926330574365,0.7628448220290944,0.8101984143466265,0.08980578128919003,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7107486936799997,0.8416478429999996,0.20336008240000003,0.0,0.06379877478435632,0.20206306351954026,0.20206306351954026,0.1556878993794429,0.47890806066912867,1.0,0.8443121006205571,0.0,0.0,0.0,0.0,0.0
18,100,100,1.0,feasible,0.7203926330574365,0.7611821203519773,0.8101984143466265,0.08980578128919003,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7074903346779995,0.8416478429999996,0.20336008240000003,0.0,0.06549448986010115,0.20206306351954026,0.20206306351954026,0.1556878993794429,0.4863258358972829,1.0,0.8443121006205571,0.0,0.0,0.0,0.0,0.0
19,100,100,1.0,feasible,0.7203926330574365,0.7630765839336174,0.815479396622356,0.09508676356491952,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7093010281259996,0.8416478429999996,0.20336008240000003,0.0,0.06864408873953794,0.20206306351954026,0.20206306351954026,0.15568606701056498,0.4700579645535406,1.0,0.844313932989435,0.0,0.0,0.0,0.0,1.8323688779353642e-06
20,100,100,1.0,feasible,0.7203926330574365,0.7622907350539253,0.8167709520107014,0.09637831895326487,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7089942842959993,0.8503196247999997,0.2120318642000001,0.0,0.06411513657690805,0.20206306351954026,0.20206306351954026,0.1456808318886692,0.4769481789909165,1.0,0.8543191681113308,0.0,0.0,0.0,0.0,0.010005235121895772
