gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
1,100,10,0.1,feasible,0.7488297600858145,0.7755057181727801,0.798755188896447,0.049925428810632555,0.6466880575999999,0.6962718560799999,0.7566687511999999,0.10998069359999996,0.0056509833095238085,0.05752872247190477,0.1595708564404762,0.15391987313095237,0.22454180706777707,0.3648777480920885,0.5343688889216968,0.3098270818539197,0.14487714907897076,,,,,
2,100,33,0.33,feasible,0.7391652862225944,0.774594176062863,0.8113471396926724,0.072181853470078,0.6192113927999999,0.7017705635151514,0.8476247695999997,0.22841337679999973,0.0056509833095238085,0.04339645089202741,0.1595708564404762,0.15391987313095237,0.22454180706777707,0.3751461203653705,0.5522218467853094,0.32768003971753235,0.15605155512338184,0.009664473863220113,0.027476664799999995,0.0,0.0,0.011174406044411084
3,100,72,0.72,feasible,0.7369938163884672,0.7712548607404695,0.8113471396926724,0.07435332330420519,0.6135740416,0.6938494601888887,0.8476247695999997,0.2340507279999997,0.0027174768452380956,0.04089869538020833,0.1595708564404762,0.1568533795952381,0.1830584363661506,0.38974810271894245,0.5591632669245226,0.37610483055837196,0.16697303508579897,0.002171469834127193,0.005637351199999974,0.002933506464285713,0.04148337070162647,0.01092147996241713
4,100,100,1.0,feasible,0.734818381647568,0.7663898565163172,0.8012844968866099,0.06646611523904189,0.6079396359999999,0.6748123520559999,0.8177343151999998,0.20979467919999994,0.0,0.035166965172809525,0.13764939679761906,0.13764939679761906,0.1830584363661506,0.39363635871582864,0.5624999999999997,0.37944156363384907,0.17041337752315333,0.002175434740899207,0.005634405600000059,0.0027174768452380956,0.0,0.00344034243735436
5,100,100,1.0,feasible,0.734818381647568,0.7655861089730174,0.801528343536881,0.066709961889313,0.6079396359999999,0.662490580296,0.7636615304,0.15572189440000006,0.0,0.036721690812785715,0.283635647052381,0.283635647052381,0.18305842740189512,0.38071833156608703,0.5624999999999997,0.3794415725981045,0.17146283384763378,0.0,0.0,0.0,8.96425547680657e-09,0.0010494563244804467
6,100,100,1.0,feasible,0.734818381647568,0.7626603517250099,0.801528343536881,0.066709961889313,0.6079396359999999,0.6524595409839999,0.7636615304,0.15572189440000006,0.0,0.03615694670742856,0.283635647052381,0.283635647052381,0.18305842740189512,0.385953603507894,0.5624999999999997,0.3794415725981045,0.17232090654507784,0.0,0.0,0.0,0.0,0.0008580726974440622
7,100,100,1.0,feasible,0.734818381647568,0.7624289213977988,0.801528343536881,0.066709961889313,0.6079396359999999,0.6499034761439998,0.7367257511999998,0.12878611519999994,0.0,0.031961467317547614,0.283635647052381,0.283635647052381,0.18305842740189512,0.3807474754545933,0.5624999999999997,0.3794415725981045,0.17283272209995293,0.0,0.0,0.0,0.0,0.0005118155548750891
8,100,100,1.0,feasible,0.734818381647568,0.7599348868217259,0.8034871880069071,0.06866880635933914,0.6079396359999999,0.6437369217039999,0.7367257511999998,0.12878611519999994,0.0,0.027464366451166667,0.283635647052381,0.283635647052381,0.1770310066065676,0.38628209969062444,0.5624999999999997,0.3854689933934321,0.17428372456868857,0.0,0.0,0.0,0.006027420795327532,0.0014510024687356404
9,100,100,1.0,feasible,0.734818381647568,0.7584008477979522,0.8034871880069071,0.06866880635933914,0.6079396359999999,0.6413680668639999,0.7367257511999998,0.12878611519999994,0.0,0.022595418810404756,0.14628572551190477,0.14628572551190477,0.17655386259713776,0.38732280709463346,0.5624999999999997,0.3859461374028619,0.17483934136813756,0.0,0.0,0.0,0.0004771440094298307,0.000555616799448988
10,100,100,1.0,feasible,0.734818381647568,0.7631808132175185,0.8031848423246646,0.06836646067709662,0.6079396359999999,0.6500344625119999,0.7420040175999999,0.1340643816,0.0,0.02514832695097619,0.23128231289047615,0.23128231289047615,0.17655386259713776,0.3542379535252683,0.5624999999999997,0.3859461374028619,0.17497402865032924,0.0,0.0,0.0,0.0,0.00013468728219168113
11,100,100,1.0,feasible,0.734818381647568,0.7604224683585369,0.8031848423246646,0.06836646067709662,0.6079396359999999,0.6425571795679998,0.7420040175999999,0.1340643816,0.0,0.024081601953309523,0.23128231289047615,0.23128231289047615,0.17655386259713776,0.36472704195186184,0.5624999999999997,0.3859461374028619,0.17520936779016216,0.0,0.0,0.0,0.0,0.0002353391398329241
12,100,100,1.0,feasible,0.734818381647568,0.7626493487337135,0.8031848423246646,0.06836646067709662,0.6079396359999999,0.6448615339999999,0.7420040175999999,0.1340643816,0.0,0.02668767725509524,0.23128231289047615,0.23128231289047615,0.17655386259713776,0.35144914439453395,0.5624999999999997,0.3859461374028619,0.17529847443742505,0.0,0.0,0.0,0.0,8.910664726288764e-05
13,100,100,1.0,feasible,0.734818381647568,0.7630698250440412,0.7953232569375402,0.06050487528997228,0.6079396359999999,0.6436004198399999,0.725785672,0.1178460360000001,0.0,0.026810116873738098,0.11949760052380952,0.11949760052380952,0.17655386259713776,0.3460186265020988,0.5624999999999997,0.3859461374028619,0.17582242601045817,0.0,0.0,0.0,0.0,0.0005239515730331157
14,100,100,1.0,feasible,0.734818381647568,0.7648702288716797,0.7953232569375402,0.06050487528997228,0.6079396359999999,0.6449724765359999,0.725785672,0.1178460360000001,0.0,0.02780817951183334,0.1319164327857143,0.1319164327857143,0.16593995925350305,0.3317783458639136,0.5624999999999997,0.39656004074649664,0.17788244147266663,0.0,0.0,0.0,0.010613903343634712,0.0020600154622084643
15,100,100,1.0,feasible,0.734818381647568,0.7673135880069073,0.7977913228855984,0.06297294123803043,0.6079396359999999,0.652578988488,0.7379308735999999,0.12999123759999998,0.0,0.025733492205047618,0.1083529814047619,0.1083529814047619,0.16593995925350305,0.31811710385867564,0.5624999999999997,0.39656004074649664,0.17831173439423362,0.0,0.0,0.0,0.0,0.0004292929215669872
16,100,100,1.0,feasible,0.734818381647568,0.7681612280431862,0.7998470844888635,0.06502870284129558,0.6079396359999999,0.6523465076639998,0.7436997167999999,0.13576008080000002,0.0,0.02783073819482047,0.1083529814047619,0.1083529814047619,0.16593995925350305,0.31354283393256355,0.5624999999999997,0.39656004074649664,0.178356116965793,0.0,0.0,0.0,0.0,4.4382571559392625e-05
17,100,100,1.0,feasible,0.734818381647568,0.7675674512436119,0.7998470844888635,0.06502870284129558,0.6079396359999999,0.6507334735359999,0.7436997167999999,0.13576008080000002,0.0,0.02853148735333333,0.1083529814047619,0.1083529814047619,0.16080059966130103,0.31469792951897696,0.5624999999999997,0.40169940033869866,0.1796929558523167,0.0,0.0,0.0,0.00513935959220202,0.0013368388865236946
18,100,100,1.0,feasible,0.734818381647568,0.7675528597299984,0.7998470844888635,0.06502870284129558,0.6079396359999999,0.6491660467679999,0.7436997167999999,0.13576008080000002,0.0,0.030457496126309526,0.16143626191666668,0.16143626191666668,0.16080059966130103,0.3136586867919921,0.5624999999999997,0.40169940033869866,0.1798215507936236,0.0,0.0,0.0,0.0,0.0001285949413069032
19,100,100,1.0,feasible,0.734818381647568,0.7700994721547799,0.8067555293635428,0.07193714771597481,0.6079396359999999,0.6510180436319998,0.7436997167999999,0.13576008080000002,0.0,0.03673328115478572,0.19112223817857144,0.19112223817857144,0.15313890015692747,0.295545802781478,0.5624999999999997,0.40936109984307223,0.18122197034528248,0.0,0.0,0.0,0.007661699504373565,0.0014004195516588713
20,100,100,1.0,feasible,0.734818381647568,0.7694766949313658,0.8107498789527845,0.07593149730521653,0.6079396359999999,0.6496755241999999,0.7436997167999999,0.13576008080000002,0.0,0.04508222380964286,0.27088461115238105,0.27088461115238105,0.1180665535283871,0.2957590128564054,0.5624999999999997,0.44443344647161254,0.18556168714520588,0.0,0.0,0.0,0.03507234662854036,0.004339716799923399
