gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,hypervolume,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,hypervolume_improve_from_prev
11,100,100,1.0,feasible,0.7084607934348456,0.7477110935133343,0.7931084003104669,0.08464760687562134,0.5286398416,0.5914522518559999,0.7199618727999998,0.1913220311999998,0.0,0.052819180406274764,0.14078733785714284,0.14078733785714284,0.23551190915042636,0.5537820719207601,1.0,0.7644880908495737,0.19495329587783583,0.0,0.0,0.0,0.0002466184605626198,0.0006142127254547547
12,100,100,1.0,feasible,0.7084607934348456,0.7479148256065442,0.7931084003104669,0.08464760687562134,0.5286398416,0.5907294032479999,0.7199618727999998,0.1913220311999998,0.0,0.05667512780522952,0.1638872979161905,0.1638872979161905,0.23551190915042636,0.5384320620163233,1.0,0.7644880908495737,0.1953724486041733,0.0,0.0,0.0,0.0,0.00041915272633746836
13,100,100,1.0,feasible,0.7084607934348456,0.748515960818377,0.7931084003104669,0.08464760687562134,0.5286398416,0.591337654104,0.7199618727999998,0.1913220311999998,0.0,0.05609434190170476,0.16975435083333332,0.16975435083333332,0.23551190915042636,0.5301715988461946,1.0,0.7644880908495737,0.19661041852790687,0.0,0.0,0.0,0.0,0.0012379699237335673
14,100,100,1.0,feasible,0.7084607934348456,0.748129487801092,0.7936019110285525,0.0851411175937069,0.5286398416,0.586540701608,0.7199618727999998,0.1913220311999998,0.0,0.06118529461472619,0.17517299764714286,0.17517299764714286,0.23551190915042636,0.5243451159575339,1.0,0.7644880908495737,0.1968227330496016,0.0,0.0,0.0,0.0,0.0002123145216947342
15,100,100,1.0,feasible,0.7084607934348456,0.75021552252891,0.7968331009191915,0.08837230748434588,0.5286398416,0.5909334927359999,0.7199618727999998,0.1913220311999998,0.0,0.061471402545433325,0.17399376777976192,0.17399376777976192,0.21112188459495368,0.5044600339934988,1.0,0.7888781154050464,0.2005471665118812,0.0,0.0,0.0,0.024390024555472678,0.0037244334622796027
16,100,100,1.0,feasible,0.7084607934348456,0.7512822546360735,0.7968331009191915,0.08837230748434588,0.5286398416,0.594952352352,0.7199618727999998,0.1913220311999998,0.0,0.05669987142790476,0.1690245154047619,0.1690245154047619,0.19501499148559845,0.5044696959881999,1.0,0.8049850085144016,0.20377495864210668,0.0,0.0,0.0,0.01610689310935523,0.0032277921302254764
17,100,100,1.0,feasible,0.7084607934348456,0.7485081117323358,0.7968331009191915,0.08837230748434588,0.5286398416,0.5897083128079998,0.7199618727999998,0.1913220311999998,0.0,0.054614485425147616,0.1690245154047619,0.1690245154047619,0.19501499148559845,0.5197111177781593,1.0,0.8049850085144016,0.20418425067071974,0.0,0.0,0.0,0.0,0.0004092920286130619
18,100,100,1.0,feasible,0.7084607934348456,0.7527265290312735,0.7988140515061134,0.09035325807126782,0.5286398416,0.596249580984,0.7199618727999998,0.1913220311999998,0.0,0.05638789782264762,0.18594661689761907,0.18594661689761907,0.19501499148559845,0.48389881179041433,1.0,0.8049850085144016,0.20421262466995532,0.0,0.0,0.0,0.0,2.837399923558137e-05
19,100,100,1.0,feasible,0.7084607934348456,0.7512087778801042,0.7988140515061134,0.09035325807126782,0.5286398416,0.5928096585439999,0.7199618727999998,0.1913220311999998,0.0,0.05723049337614761,0.18594661689761907,0.18594661689761907,0.19501499148559845,0.4940179271689857,1.0,0.8049850085144016,0.2042401222841883,0.0,0.0,0.0,0.0,2.7497614232985246e-05
20,100,100,1.0,feasible,0.7084607934348456,0.7509323148256675,0.7943728278652783,0.08591203443043272,0.5286398416,0.591703305672,0.714280492,0.1856406504,0.0,0.05968596783625238,0.18594661689761907,0.18594661689761907,0.18905842838989642,0.48738402970528405,1.0,0.8109415716101036,0.20555267323831777,0.0,0.0,0.0,0.005956563095702028,0.0013125509541294655
